name,value,value_en,updated_by,user_id,status
new_customer,New Customer,New Customer,1,1,active
customer_list,Customer Lists,Customer Lists,1,1,active
add_new_faq,Add New Faq,Add New Faq,1,1,active
edit_schedule,Edit Schedule,Edit Schedule,1,1,active
create_new_service,Create New Service,Create New Service,1,1,active
add_new_label,Add New Label,Add New Label,1,1,active
add_timeslot,Add Timeslot,Add Timeslot,1,1,active
edit_admin,Edit Admin,Edit Admin,1,1,active
create_admin,Create Admin,Create Admin,1,1,active
update_category,Update Category,Update Category,1,1,active
update_faq,Update Faq,Update Faq,1,1,active
update_service,Update Service,Update Service,1,1,active
update_social,Update Social,Update Social,1,1,active
add_slot,Add Slot,Add Slot,1,1,active
update_slot,Update Slot,Update Slot,1,1,active
